Date,Portfolio name,Currency,Campaign Name,Bidding strategy,Placement,Impressions,Clicks,Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#)
"Oct 11, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,Product pages on Amazon,110,0,,$ 0.00,$ 0.00,,,0,0
"Oct 12, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,Product pages on Amazon,137,0,,$ 0.00,$ 0.00,,,0,0
"Oct 06, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,Rest of search on Amazon,4,0,,$ 0.00,$ 0.00,,,0,0
"Oct 07, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,Rest of search on Amazon,5,0,,$ 0.00,$ 0.00,,,0,0
"Oct 08, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,Rest of search on Amazon,2,0,,$ 0.00,$ 0.00,,,0,0
"Oct 09, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,Rest of search on Amazon,6,0,,$ 0.00,$ 0.00,,,0,0
"Oct 10, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,Rest of search on Amazon,6,0,,$ 0.00,$ 0.00,,,0,0
"Oct 11, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,Rest of search on Amazon,1,0,,$ 0.00,$ 0.00,,,0,0
"Oct 12, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,Rest of search on Amazon,7,0,,$ 0.00,$ 0.00,,,0,0
"Oct 06, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,Rest of search on Amazon,218,0,,$ 0.00,$ 0.00,,,0,0
"Oct 07, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,Rest of search on Amazon,303,0,,$ 0.00,$ 0.00,,,0,0
"Oct 08, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,Rest of search on Amazon,311,1,$ 0.07,$ 0.07,$ 0.00,,0.00,0,0
"Oct 09, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,Rest of search on Amazon,240,1,$ 0.02,$ 0.02,$ 4.99,0.4008%,249.50,1,1
"Oct 10, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,Rest of search on Amazon,399,2,$ 0.07,$ 0.13,$ 0.00,,0.00,0,0
"Oct 11, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,Rest of search on Amazon,315,1,$ 0.07,$ 0.07,$ 0.00,,0.00,0,0
"Oct 12, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,Rest of search on Amazon,330,3,$ 0.06,$ 0.19,$ 0.00,,0.00,0,0
"Oct 06, 2019",Ingredients,USD,Ingredients,Dynamic bids - up and down,Rest of search on Amazon,612,6,$ 0.46,$ 2.76,$ 10.98,25.1366%,3.98,2,2
"Oct 07, 2019",Ingredients,USD,Ingredients,Dynamic bids - up and down,Rest of search on Amazon,502,4,$ 0.48,$ 1.91,$ 3.95,48.3544%,2.07,1,1
"Oct 08, 2019",Ingredients,USD,Ingredients,Dynamic bids - up and down,Rest of search on Amazon,736,4,$ 0.47,$ 1.86,$ 10.43,17.8332%,5.61,2,2
"Oct 09, 2019",Ingredients,USD,Ingredients,Dynamic bids - up and down,Rest of search on Amazon,756,4,$ 0.45,$ 1.81,$ 0.00,,0.00,0,0
"Oct 10, 2019",Ingredients,USD,Ingredients,Dynamic bids - up and down,Rest of search on Amazon,806,5,$ 0.30,$ 1.52,$ 16.97,8.9570%,11.16,3,3
"Oct 11, 2019",Ingredients,USD,Ingredients,Dynamic bids - up and down,Rest of search on Amazon,1088,5,$ 0.48,$ 2.38,$ 12.99,18.3218%,5.46,1,1
"Oct 12, 2019",Ingredients,USD,Ingredients,Dynamic bids - up and down,Rest of search on Amazon,1064,5,$ 0.44,$ 2.20,$ 0.00,,0.00,0,0
"Oct 06, 2019",Desserts,USD,Desserts,Dynamic bids - up and down,Rest of search on Amazon,744,1,$ 0.64,$ 0.64,$ 0.00,,0.00,0,0
"Oct 07, 2019",Desserts,USD,Desserts,Dynamic bids - up and down,Rest of search on Amazon,747,3,$ 0.37,$ 1.11,$ 0.00,,0.00,0,0
"Oct 08, 2019",Desserts,USD,Desserts,Dynamic bids - up and down,Rest of search on Amazon,635,2,$ 0.28,$ 0.56,$ 0.00,,0.00,0,0
"Oct 09, 2019",Desserts,USD,Desserts,Dynamic bids - up and down,Rest of search on Amazon,991,4,$ 0.26,$ 1.04,$ 0.00,,0.00,0,0
"Oct 10, 2019",Desserts,USD,Desserts,Dynamic bids - up and down,Rest of search on Amazon,966,2,$ 0.79,$ 1.58,$ 0.00,,0.00,0,0
"Oct 11, 2019",Desserts,USD,Desserts,Dynamic bids - up and down,Rest of search on Amazon,1069,1,$ 0.51,$ 0.51,$ 0.00,,0.00,0,0
"Oct 12, 2019",Desserts,USD,Desserts,Dynamic bids - up and down,Rest of search on Amazon,945,3,$ 0.33,$ 1.00,$ 0.00,,0.00,0,0
"Oct 06, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,Rest of search on Amazon,90,0,,$ 0.00,$ 0.00,,,0,0
"Oct 07, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,Rest of search on Amazon,86,0,,$ 0.00,$ 0.00,,,0,0
"Oct 08, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,Rest of search on Amazon,108,0,,$ 0.00,$ 0.00,,,0,0
"Oct 09, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,Rest of search on Amazon,122,0,,$ 0.00,$ 0.00,,,0,0
"Oct 10, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,Rest of search on Amazon,105,0,,$ 0.00,$ 0.00,,,0,0
"Oct 11, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,Rest of search on Amazon,108,0,,$ 0.00,$ 0.00,,,0,0
"Oct 12, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,Rest of search on Amazon,122,1,$ 1.46,$ 1.46,$ 0.00,,0.00,0,0
